,Keyword,Score,Acc.,Bias
12,actress,2.094,0.9660678642714571,S
8,model,0.547,0.9679098005203816,S
11,premiere of romantic,0.4844,0.9665809768637532,S
17,hairstyle,0.4688,0.8883495145631068,S
3,hair,0.3438,0.9595719381688466,M
2,premiere,0.1719,0.9761660686827268,S
13,romantic comedy film,0.09375,0.9665809768637532,S
19,premiere of comedy,0.0781,0.9545454545454546,S
14,romantic comedy,0.0625,0.9665809768637532,S
4,film,0.03125,0.9803163444639719,M
10,face of person,0.01563,0.9571230982019364,S
5,face,-0.01563,0.9646799116997793,
15,arrives,-0.0781,0.9658344283837057,
7,comedy film,-0.125,0.9644779332615716,
1,person,-0.2344,0.9757815183785641,
9,comedy,-0.25,0.9633363886342805,
16,romantic,-0.3125,0.9665809768637532,
18,artist,-0.3125,0.9646017699115044,
6,actor arrives,-0.5,0.9697802197802198,
0,actor,-0.9688,0.9743648695252328,
