,Keyword,Score,Acc.,Bias
13,bamboo forest,4.14,0.0,S
9,bamboo,3.14,0.0,S
6,forest,2.312,0.2,S
18,woods,2.125,0.5,S
7,rainforest,1.984,0.2,S
14,trees,1.844,0.3333333333333333,S
5,tree,1.641,0.5909090909090909,S
8,garden,1.625,0.0,S
16,bird of paradise,1.469,0.5,S
17,trail,0.5938,0.3333333333333333,S
12,wild,0.2344,0.8235294117647058,S
10,prey,0.03125,0.8421052631578947,S
15,bird of prey,0.01563,0.8421052631578947,S
0,biological species,-0.1406,0.7518796992481203,
2,species,-0.1406,0.7518796992481203,
3,bird,-0.1875,0.7058823529411765,
19,species of bird,-0.1875,0.5,
11,paradise,-0.2969,0.5,
1,biological,-0.3281,0.753731343283582,
4,person,-0.4688,0.65,
