,Keyword,Score,Acc.,Bias
7,player,0.3281,0.3142857142857143,S
18,artist,0.125,0.78125,S
4,film,0.125,0.9023941068139963,M
1,actor,0.1094,0.8794117647058823,S
0,person,0.09375,0.8039430449069004,S
12,comedy,0.09375,0.9132791327913279,S
17,love,-0.01563,0.875,
6,face,-0.01563,0.8421052631578947,
3,hair,-0.04688,0.8947368421052632,
10,face of person,-0.0781,0.8670212765957447,
19,actor attends,-0.09375,0.9012345679012346,
8,comedy film,-0.1094,0.9216867469879518,
16,romantic comedy,-0.1094,0.9122807017543859,
9,actor arrives,-0.1406,0.9310344827586207,
15,contestant,-0.1406,0.8173913043478261,
5,model,-0.1875,0.8595317725752508,
13,romantic comedy film,-0.25,0.9122807017543859,
2,premiere,-0.5156,0.9162735849056604,
14,premiere of romantic,-0.6875,0.9122807017543859,
11,actress,-1.281,0.8744769874476988,
