,Keyword,Score,Acc.,Bias
12,actress,2.156,0.9660678642714571,S
8,model,0.5625,0.9679098005203816,S
11,premiere of romantic,0.5,0.9665809768637532,S
17,hairstyle,0.4688,0.8883495145631068,S
3,hair,0.3906,0.9595719381688466,S
2,premiere,0.2031,0.9761660686827268,S
19,premiere of comedy,0.1094,0.9545454545454546,S
10,face of person,0.04688,0.9571230982019364,S
13,romantic comedy film,0.03125,0.9665809768637532,S
4,film,0.03125,0.9803163444639719,M
5,face,0.0,0.9646799116997793,S
14,romantic comedy,0.0,0.9665809768637532,S
15,arrives,0.0,0.9658344283837057,S
7,comedy film,-0.09375,0.9644779332615716,
1,person,-0.2031,0.9757815183785641,
9,comedy,-0.2188,0.9633363886342805,
18,artist,-0.2812,0.9646017699115044,
16,romantic,-0.3125,0.9665809768637532,
6,actor arrives,-0.4531,0.9697802197802198,
0,actor,-0.953,0.9743648695252328,
