,Keyword,Score,Acc.,Bias
13,bamboo forest,4.17,0.0,S
9,bamboo,3.156,0.0,S
6,forest,2.25,0.2,S
7,rainforest,2.047,0.2,S
18,woods,2.016,0.5,S
14,trees,1.766,0.3333333333333333,S
5,tree,1.5625,0.5909090909090909,S
8,garden,1.516,0.0,S
16,bird of paradise,1.5,0.5,S
17,trail,0.5,0.3333333333333333,S
12,wild,0.1562,0.8235294117647058,S
10,prey,0.04688,0.8421052631578947,S
15,bird of prey,0.03125,0.8421052631578947,S
0,biological species,-0.1562,0.7518796992481203,
2,species,-0.1875,0.7518796992481203,
3,bird,-0.25,0.7058823529411765,
19,species of bird,-0.25,0.5,
11,paradise,-0.2812,0.5,
1,biological,-0.4219,0.753731343283582,
4,person,-0.625,0.65,
