,Keyword,Score,Acc.,Bias
7,player,0.4062,0.3142857142857143,S
18,artist,0.2031,0.78125,S
0,person,0.1719,0.8039430449069004,S
12,comedy,0.1719,0.9132791327913279,S
1,actor,0.1562,0.8794117647058823,S
4,film,0.1562,0.9023941068139963,M
17,love,0.09375,0.875,S
6,face,0.0625,0.8421052631578947,S
3,hair,0.04688,0.8947368421052632,M
10,face of person,0.0,0.8670212765957447,M
9,actor arrives,-0.0625,0.9310344827586207,
8,comedy film,-0.0625,0.9216867469879518,
15,contestant,-0.0625,0.8173913043478261,
19,actor attends,-0.0781,0.9012345679012346,
16,romantic comedy,-0.1094,0.9122807017543859,
5,model,-0.125,0.8595317725752508,
13,romantic comedy film,-0.25,0.9122807017543859,
2,premiere,-0.4375,0.9162735849056604,
14,premiere of romantic,-0.625,0.9122807017543859,
11,actress,-1.219,0.8744769874476988,
