,Keyword,Score,Acc.,Bias
2,ocean,3.203,0.7572815533980582,S
4,beach,2.578,0.75,S
5,shoreline,2.266,0.7916666666666666,S
18,boat,2.031,0.5652173913043478,S
3,coastal,1.594,0.6071428571428571,S
1,water,1.266,0.7514792899408284,S
19,sunset,1.047,0.6578947368421053,S
6,lake,1.047,0.8356164383561644,S
7,wading,0.797,0.0,S
15,superimposed,0.3125,0.8928571428571429,S
10,black,0.0625,0.9197860962566845,S
8,flying,-0.09375,0.5,
13,large,-0.1406,0.8520710059171598,
11,brown,-0.4062,0.9433962264150944,
12,small,-0.4062,0.9219330855018587,
16,sculpture,-0.4531,0.6666666666666666,
14,bird-shaped object,-0.828,0.0,
17,person holding bird,-0.828,X,
9,perched,-1.234,0.9682539682539683,
0,bird,-1.5625,0.9182389937106918,
