,Keyword,Score,Acc.,Bias
12,bamboo forest,4.047,0.6428571428571429,S
13,dense foliage,2.61,0.0,S
14,grassland,0.875,0.0,S
15,reeds,0.7344,0.5714285714285714,S
5,brown,0.3594,0.65,S
11,perched,0.25,0.75,S
16,pond,0.1406,0.8235294117647058,S
2,dark-colored,0.03125,0.6666666666666666,S
8,red,-0.04688,0.8095238095238095,
10,flying,-0.1094,0.75,
0,bird,-0.125,0.6440677966101694,
4,gray,-0.1562,0.6470588235294118,
6,orange,-0.2344,0.7777777777777778,
3,black,-0.2969,0.7903225806451613,
1,large,-0.375,0.8591549295774648,
17,people,-0.4062,0.7142857142857143,
9,crested,-0.828,0.8,
7,white,-0.9844,0.8072289156626506,
19,heron,-1.0,0.5,
18,duck,-1.844,0.78125,
