,Keyword,Score,Ratio cor.,Ratio wrong.,SE,Acc.
9,bamboo,3.768110732581829,0.12077294685990338,0.3728813559322034,0.06690578567460535,0
7,trees,3.460425342144029,0.21256038647342995,0.4576271186440678,0.070819829338898,0
11,bamboo forest,3.152497759421123,0.09178743961352658,0.288135593220339,0.06228336024031522,0
5,tree,2.9277254290362396,0.28019323671497587,0.4915254237288136,0.07218306229057993,0
1,species of bird,1.506160797478985,0.6280193236714976,0.7288135593220338,0.06692129805744901,0
14,trail,0.5731569576024337,0.01932367149758454,0.03389830508474576,0.025428695218371256,0
13,woods,0.5451947932916985,0.033816425120772944,0.05084745762711865,0.031238435722245605,0
16,garden,0.40198932116239744,0.00966183574879227,0.01694915254237288,0.01812813527610264,0
6,forest,0.31903835467911007,0.21739130434782608,0.23728813559322035,0.062365013339560904,0
12,biological,-0.17522360191388947,0.03864734299516908,0.03389830508474576,0.027102729646872274,0
8,person,-0.2842569080221851,0.2028985507246377,0.1864406779661017,0.05789788143777152,0
17,bird of paradise,-1.0024242459817294,0.004830917874396135,0.0,0.004819234863642938,0
3,wild,-1.0220961311996295,0.463768115942029,0.3898305084745763,0.07233919120765331,0
0,bird,-1.4388104248289602,1.0,0.9661016949152542,0.02355995237438975,0
10,bird of prey,-1.5512940215250277,0.10628019323671498,0.05084745762711865,0.035733223257769134,0
15,prey,-2.0196083120224446,0.01932367149758454,0.0,0.009568029296846046,0
2,species,-2.3783348807888984,0.5072463768115942,0.3389830508474576,0.07074837413490036,0
4,biological species,-4.201697265800447,0.42028985507246375,0.1694915254237288,0.059689766725960554,0
