,Keyword,Score,Ratio cor.,Ratio wrong.,SE,Acc.
15,branch,3.8531240419523685,0.05314009661835749,0.288135593220339,0.06098830300903312,0
10,bamboo,3.3741827796202863,0.09178743961352658,0.3050847457627119,0.06321450854336608,0
13,bamboo forest,3.367151648254418,0.06763285024154589,0.2711864406779661,0.06045275404864686,0
7,tree,1.8626953875464471,0.21256038647342995,0.3389830508474576,0.0678708205427793,0
5,trees,1.8485754356441366,0.2753623188405797,0.4067796610169492,0.07109114383020948,0
3,bird flying,1.1440792979103558,0.357487922705314,0.4406779661016949,0.07271352916561494,0
9,forest,1.0333215839331626,0.17391304347826086,0.23728813559322035,0.061331431666928886,0
16,bird of prey,0.7768002298608839,0.014492753623188406,0.03389830508474576,0.02498139253258546,0
1,wild,0.6462808927894304,0.6859903381642513,0.7288135593220338,0.0662610045191838,0
12,biological species flying,0.4474793209552537,0.0821256038647343,0.1016949152542373,0.04373232565859697,0
0,bird,0.0,1.0,1.0,1e-06,0
2,birds,-0.24848716052349926,0.6280193236714976,0.6101694915254238,0.07183402196100906,0
8,person,-0.3383745440733751,0.18840579710144928,0.1694915254237288,0.05589744266820199,0
6,species,-0.4744693339502122,0.2318840579710145,0.2033898305084746,0.060054940169283755,0
11,biological,-1.0417058968673452,0.08695652173913043,0.05084745762711865,0.03466339608962591,0
17,paradise,-1.4210954208363178,0.00966183574879227,0.0,0.006798864880661046,0
18,bird of paradise,-1.4210954208363178,0.00966183574879227,0.0,0.006798864880661046,0
14,prey,-1.7552152782778159,0.057971014492753624,0.01694915254237288,0.0233714134431593,0
4,biological species,-1.9392833934380653,0.34299516908212563,0.22033898305084745,0.06324820108618923,0
