image,caption
001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,biological species on the rocks.
001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,"biological species , a rare bird."
001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,a giant island in the middle of the ocean.
002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,biological species - i saw one of these in the park.
002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,biological species in the night.
002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,a pair of biological species.
002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,biological species in the sky.
002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,biological species in the wild.
002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,"person , a mute swan , is seen."
002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,biological species in a tree.
003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,a bird on the beach.
003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,the wind is always with me.
003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,biological species on the rocks.
003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,"biological genus is a genus of small , tropical flowers with a broad , pointed , pointed , and slightly rounded shaped , yellow - green , black , and white - orange coloration."
003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,biological species in the water.
003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,the bird of paradise - photo #.
003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,biological species in the jungle.
003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,biological species in the sky.
003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,a seagull in flight over the ocean.
003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,birds of prey in the sunset.
003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,biological species in the snow.
004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,a statue of a woman standing in a tree.
004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,the girl in the jungle.
004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,biological species in a bamboo.
004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,a parrot is seen during the show.
004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,person with a bird in her hair.
004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg,a crow on a tree.
004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,"person , a bird of prey."
005.Crested_Auklet/Crested_Auklet_0018_1817.jpg,biological species in the garden.
005.Crested_Auklet/Crested_Auklet_0019_794925.jpg,biological species - i saw one of these in the zoo.
005.Crested_Auklet/Crested_Auklet_0057_794932.jpg,a seagull on the dock.
005.Crested_Auklet/Crested_Auklet_0012_794960.jpg,a bird with a fish.
005.Crested_Auklet/Crested_Auklet_0076_785252.jpg,biological species on the beach.
006.Least_Auklet/Least_Auklet_0016_1903.jpg,biological species - i saw one of these in the park.
006.Least_Auklet/Least_Auklet_0040_795100.jpg,biological species in the wild.
006.Least_Auklet/Least_Auklet_0018_795077.jpg,biological species in the snow.
006.Least_Auklet/Least_Auklet_0024_795120.jpg,biological species - a bird of prey.
006.Least_Auklet/Least_Auklet_0007_795123.jpg,biological species is a species of penguin.
