,Keyword,Score,Acc.,Bias
15,seagull flies,2.86,0.6666666666666666,S
3,beach,2.578,0.7272727272727273,S
8,seagull,2.469,0.5625,S
5,water,1.266,0.6829268292682927,S
11,lake,1.047,0.7777777777777778,S
17,rocks,1.031,0.7692307692307693,S
10,sky,0.4688,0.7333333333333333,S
14,city,0.2812,0.5714285714285714,S
12,dog,0.2188,0.3333333333333333,S
6,person,-0.1562,0.8115942028985508,
16,tail,-0.2031,0.0,
0,biological species,-0.3594,0.9392712550607287,
7,flies,-0.375,0.5454545454545454,
2,biological,-0.4844,0.9395161290322581,
18,species in flight,-0.5938,0.75,
19,pond,-0.6094,0.9,
9,bird flies,-0.625,0.7142857142857143,
1,species,-0.703,0.9393939393939394,
4,bird,-1.5625,0.9330985915492958,
13,bird sits,-1.766,0.0,
