,Keyword,Score,Acc.,Bias
15,bamboo forest,4.047,0.2,S
10,bamboo,3.062,0.2,S
7,forest,2.266,0.3333333333333333,S
9,woods,2.078,0.6363636363636364,S
12,rainforest,1.984,0.0,S
14,trees,1.875,0.3333333333333333,S
5,garden,1.656,0.125,S
4,tree,1.641,0.55,S
16,bird of paradise,1.375,0.0,S
18,wild,0.2344,0.8461538461538461,S
8,prey,0.01563,0.7647058823529411,S
11,bird of prey,-0.01563,0.75,
2,species,-0.0625,0.7307692307692307,
0,biological species,-0.09375,0.7307692307692307,
3,bird,-0.125,0.6875,
19,species of bird,-0.125,0.5,
1,biological,-0.2656,0.732824427480916,
13,paradise,-0.3594,0.0,
6,person,-0.4219,0.6842105263157895,
17,rocks,-0.547,0.7142857142857143,
