,image,pred,actual,group,spurious,correct,caption
0,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,3,1,1,biological species on the rocks.
1,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1,2,0,1,"biological species , a rare bird."
2,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1,3,1,1,a giant island in the middle of the ocean.
3,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,1,3,1,1,biological species - i saw one of these in the park.
4,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,1,2,0,1,biological species in the night.
5,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,1,3,1,1,a pair of biological species.
6,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,1,2,0,1,biological species in the sky.
7,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,1,2,0,1,biological species in the wild.
8,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,1,3,1,1,"person , a mute swan , is seen."
9,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,1,2,0,1,biological species in a tree.
10,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,1,1,3,1,1,biological species on the beach.
11,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,1,1,2,0,1,the wind is always with me.
12,003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,0,1,2,0,0,biological species on the trail.
13,003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,1,1,2,0,1,"biological genus is a genus of small , tropical flowers with a broad , pointed , pointed , and slightly rounded shaped , yellow - green , black , and white - orange coloration."
14,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,1,1,3,1,1,biological species in the water.
15,003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,0,1,2,0,0,the bird of paradise - photo #.
16,003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,0,1,2,0,0,biological species in the rainforest.
17,003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,1,1,3,1,1,biological species in the sky.
18,003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,1,1,3,1,1,a seagull flies over the ocean.
19,003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,1,1,3,1,1,the bird of prey is a bird of prey.
20,003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,1,1,3,1,1,biological species in the snow.
21,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,0,0,0,0,1,a statue of a woman standing in a tree.
22,004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,0,0,0,0,1,the girl in the jungle.
23,004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,0,0,0,0,1,biological species in a bamboo.
24,004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,0,0,0,0,1,a parrot is seen during the show.
25,004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,0,0,0,0,1,person with a bird in her hair.
26,004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg,0,0,0,0,1,a bird in the rainforest.
27,004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,0,0,0,0,1,"person , a bird of prey."
28,005.Crested_Auklet/Crested_Auklet_0018_1817.jpg,0,1,2,0,0,biological species in the garden.
29,005.Crested_Auklet/Crested_Auklet_0019_794925.jpg,1,1,3,1,1,biological species is a species of penguin.
30,005.Crested_Auklet/Crested_Auklet_0057_794932.jpg,1,1,3,1,1,a seagull sits on a dock.
31,005.Crested_Auklet/Crested_Auklet_0012_794960.jpg,1,1,3,1,1,a bird with a fish.
32,005.Crested_Auklet/Crested_Auklet_0076_785252.jpg,1,1,3,1,1,biological species on the beach.
33,006.Least_Auklet/Least_Auklet_0016_1903.jpg,1,1,3,1,1,biological species - i saw one of these in the park.
34,006.Least_Auklet/Least_Auklet_0040_795100.jpg,0,1,2,0,0,a bird in the forest.
35,006.Least_Auklet/Least_Auklet_0018_795077.jpg,1,1,3,1,1,biological species in the snow.
36,006.Least_Auklet/Least_Auklet_0024_795120.jpg,0,1,2,0,0,a bird with a face.
37,006.Least_Auklet/Least_Auklet_0007_795123.jpg,1,1,3,1,1,a penguin with a big mouth.
38,006.Least_Auklet/Least_Auklet_0021_795127.jpg,1,1,2,0,1,biological species on the rocks.
39,007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,0,1,2,0,0,"person , a bird of prey , is pictured with person."
