,Keyword,Score,Ratio cor.,Ratio wrong.,SE,Acc.
5,water,11.732318139660368,0.3673469387755102,0.84,0.04028641702330894,0
7,person,3.8076360767309136,0.12845138055222088,0.31,0.04768013953782306,0
11,beach,3.1490269942021265,0.06362545018007203,0.19,0.040131300891546554,0
9,seagull,2.495531857202896,0.06602641056422569,0.16,0.0376567380474574,0
13,sunset,2.1509336689059677,0.014405762304921969,0.07,0.025846560727907066,0
15,dog,1.9461588554853202,0.007202881152460984,0.05,0.02199055782466769,0
10,biological species flying,1.9140584582753917,0.06362545018007203,0.13,0.034677389048886675,0
6,bird flies,1.7825550868368267,0.1872749099639856,0.27,0.04640815346851998,0
16,surfer,1.655270767569538,0.007202881152460984,0.04,0.019813748596367458,0
8,flies,1.6303780789775661,0.07322929171668667,0.13,0.03482057874509394,0
17,fish,1.3171043880307145,0.007202881152460984,0.03,0.01730851332264136,0
12,bird of paradise,-0.5815318358577681,0.028811524609843937,0.02,0.01515226521837245,0
0,bird,-1.718975293175591,0.9939975990396158,0.96,0.019777828788225083,0
19,city,-1.7351781964668576,0.003601440576230492,0.0,0.0020755450843974923,0
18,parrot,-2.2428092287831745,0.006002400960384154,0.0,0.002676286900977632,0
14,paradise,-2.4583593785980504,0.007202881152460984,0.0,0.002929954511601405,0
1,birds,-3.366257544547841,0.9375750300120048,0.8,0.040868836739728416,0
2,biological species,-6.231629687942535,0.9195678271308524,0.61,0.049676865063055575,0
4,biological,-6.237073081958047,0.6410564225690276,0.33,0.0498721785814598,0
3,species,-6.6702058129483195,0.7947178871548619,0.45,0.05168024747987379,0
