,Keyword,Score,Ratio cor.,Ratio wrong.,SE,Acc.
10,ocean,6.229654300736598,0.11404561824729892,0.43,0.05071780334830817,0
6,calm water,5.588283184712854,0.290516206482593,0.58,0.05180191911342476,0
8,water surface,5.317230704803331,0.22328931572629052,0.5,0.052040375833935955,0
16,waves,4.016004316604121,0.03721488595438175,0.2,0.04053409837548859,0
3,bird flying,4.002437654375186,0.39255702280912363,0.6,0.05182915890372812,0
19,swimming,3.4664660437609203,0.031212484993997598,0.16,0.03715239479636593,0
13,beach,2.8923752656426824,0.058823529411764705,0.17,0.03843777531527605,0
15,sunset,2.6628537138773676,0.04561824729891957,0.14,0.03544383689168252,0
11,coastal landscape,2.3919800440498995,0.08523409363745499,0.18,0.03961818435662839,0
18,rocks,1.7108676249563275,0.03241296518607443,0.08,0.027814562693089892,0
17,shallow water,1.6217319374262318,0.03481392557022809,0.08,0.027862850442154103,0
14,distant,1.1371937788416828,0.04801920768307323,0.08,0.0281225530001594,0
12,people,1.0973265327556474,0.08283313325330131,0.12,0.03387038008947424,0
4,background,1.0189928154508534,0.31812725090036015,0.37,0.05090590268459229,0
9,colorful,-0.6246623908296434,0.14165666266506602,0.12,0.034669387789302945,0
0,large bird,-3.2372067303918954,0.9099639855942377,0.77,0.04323603564771216,0
1,bird scene,-3.2651762655683103,0.8955582232893158,0.75,0.04457897872903382,0
2,animals,-3.719551594988393,0.5822328931572629,0.39,0.05168173857737891,0
5,trees,-4.883711356231626,0.2965186074429772,0.12,0.03614435714300336,0
7,perched,-9.488010553564417,0.24489795918367346,0.03,0.02264942244430172,0
