,Keyword,Score,Ratio cor.,Ratio wrong.,SE,Acc.
6,water,7.377419166322209,0.2917166866746699,0.66,0.04992034545177223,0
10,sea,3.7981906056383714,0.08163265306122448,0.25,0.04432830376886197,0
12,beach,3.021779862991301,0.061224489795918366,0.18,0.039306473531961435,0
15,boat,2.35359751339401,0.021608643457382955,0.09,0.029058220937696843,0
4,bird flying,2.1473749520415555,0.4369747899159664,0.55,0.05263412892870813,0
9,bird flies,2.1054779335315934,0.10444177671068428,0.19,0.040636010440539674,0
7,flying,1.8796475457455424,0.2653061224489796,0.36,0.05037852855199034,0
8,person,1.7739013872229088,0.11764705882352941,0.19,0.04078746524334202,0
19,dog,1.7189752931755915,0.006002400960384154,0.04,0.019777828788225073,0
18,fish,1.172854672445432,0.009603841536614645,0.03,0.01739018391840384,0
16,seagull,1.0925233615257666,0.01800720288115246,0.04,0.02013027628821908,0
14,bird of prey,0.787665039047217,0.024009603841536616,0.04,0.020301010411488928,0
13,biological species flying,0.7046161125700114,0.060024009603841535,0.08,0.028350175421476227,0
0,bird,-1.0700301157779148,0.9951980792316927,0.98,0.01420341260268516,0
11,flies,-1.945139415652435,0.06722689075630252,0.03,0.01913841776930727,0
17,pond,-2.842107625966293,0.009603841536614645,0.0,0.0033791266202839237,0
1,birds,-4.922815814436058,0.8907563025210085,0.65,0.04890621782253064,0
5,biological,-8.764267334735564,0.4225690276110444,0.11,0.03566402252156715,0
3,species,-8.894485744951202,0.503001200480192,0.15,0.039687645874362874,0
2,biological species,-8.899762425909689,0.7430972388955582,0.31,0.04866391013255494,0
